_id,ano,mes,processo_numero,solicitacao_data,solicitacao_hora,solicitacao_descricao,solicitacao_regional,solicitacao_bairro,solicitacao_localidade,solicitacao_endereco,solicitacao_roteiro,rpa_codigo,rpa_nome,solicitacao_microrregiao,solicitacao_plantao,solicitacao_origem_chamado,latitude,longitude,solicitacao_vitimas,solicitacao_vitimas_fatais,processo_situacao,processo_tipo,processo_origem,processo_localizacao,processo_status,processo_data_conclusao
11,2021,05-maio,8044511921,2021-05-16T00:00:00,16:10,"USUÁRIO SOLICITA UMA VISTORIA, ELE INFORMA QUE ALGUMAS PASTILHAS DO EDIFÍCIO ESTÃO CAINDO NA RUA E SOLICITA UMA VISTORIA.",PLANICIE,AFLITOS,AFLITOS,AMAPÁ N 51,PRÓXIMO DA QUITANDARIA DOS AFLITOS,3,3-NOROESTE,3.1,Sim,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
12,2021,04-abril,8028329521,2021-04-01T00:00:00,09:14,"SOLICITA VISTORIA EM CONSTRUÇÃO QUE AMEAÇA CAIR SOBRE IMÓVEIS PRÓXIMOS, INFORMA QUE PILASTRAS E PAREDES CONSTRUÍDAS RECENTEMENTE JÁ CHEGARAM A CAIR E FORAM LEVANTADAS NOVAMENTE.",PLANICIE,AFLITOS,AFLITOS,RUA TEIXEIRA PINTO,PASSANDO PELO NÁUTICO PRIMEIRA RUA A ESQUERDA,3,3-NOROESTE,3.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
13,2021,04-abril,8038296221,2021-04-30T00:00:00,09:46,USUÁRIA INFORMA QUE APARECERAM VARIAS RACHADURAS NO CHÃO DO TERIO DA PROCURADORIA.,PLANICIE,AFLITOS,AFLITOS,AV CONSELHEIRO PORTELA N 531,PROCURADORIA REGIONAL DO TRABALHO DA 6° REGIÃO.,3,3-NOROESTE,3.1,Não,Ocorrências,,,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
14,2020,11-novembro,8082318020,2020-11-24T00:00:00,09:17,"EDF COM PILOTIS COM VÁRIAS RACHADURAS EM QUE É POSSÍVEL COLOCAR A MÃO DENTRO, BEIRAIS QUEBRANDO E CAIXA D'ÁGUA AMEAÇANDO CAIR. USUÁRIA INFORMA TAMBÉM QUE UM MORADOR ESCUTOU UM ESTRONDO E INFORMOU A SOLICITANTE.",PLANICIE,AFLITOS,AFLITOS,"AV SANTOS DUMONT, 400","APÓS ESTÁDIO DO NÁUTICO, PRIMEIRA RUA APÓS SINAL, SEGUNDO PRÉDIO DO LADO DIREITO DE COR ROSA, COM TRÊS ANDARES.",3,3-NOROESTE,3.1,Não,Ocorrências,,,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2020-11-25T09:06:14
15,2020,11-novembro,8082934220,2020-11-25T00:00:00,15:41,"USUÁRIO SOLICITA VISTORIA NO PRÉDIO, INFORMA QUE ESTÃO FAZENDO OBRAS SEM ACOMPANHAMENTO DEVIDO , PONDO EM RISCO A ESTRUTURA E O IMÓVEL JÁ APRESENTA RACHADURAS .",PLANICIE,AFLITOS,AFLITOS,"RUA DA ANGUSTURA , N 84",EM FRENTE A BILHETEIRA DO NÁUTICO.EDIFÍCIO PRESIDENTE.SÍNDICA GLÓRIA .,3,3-NOROESTE,3.1,Não,Ocorrências,,,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2020-11-25T16:25:07
16,2020,01-janeiro,8000001720,2020-01-01T00:00:00,05:56,TESTE DE ESPELHAMENTO AO QUIKVIEW 01 01 2020,PLANICIE,AFLITOS,AFLITOS,RUA AAA,TESTE DE ESPELHAMENTO AO QUIKVIEW 01 01 2020,3,3-NOROESTE,3.1,Sim,Ocorrências,,,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2020-01-02T08:37:12
17,2019,12-dezembro,8146604419,2019-12-10T00:00:00,08:23,"USUÁRIO INFORMA QUE O SÍNDICO ESTÁ REALIZANDO UMA OBRA IRREGULAR EM SEU PRÉDIO, ""SEM ESCORAMENTO"", COLOCANDO A ESTRUTURA DO MESMO EM RISCO. FAVOR VERIFICAR",PLANICIE,AFLITOS,AFLITOS,"RUA CARNEIRO VILELA, 343","NA RUA DA IGREJA EPISCOPAL, PRÓXIMO A GALERIA ESQUINA 48",3,3-NOROESTE,3.1,Não,Ocorrências,,,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2019-12-10T08:48:09
18,2019,12-dezembro,8146602119,2019-12-10T00:00:00,08:23,"USUÁRIO INFORMA QUE O SÍNDICO ESTÁ REALIZANDO UMA OBRA IRREGULAR EM SEU PRÉDIO, ""SEM ESCORAMENTO"", COLOCANDO A ESTRUTURA DO MESMO EM RISCO. FAVOR VERIFICAR",PLANICIE,AFLITOS,AFLITOS,"RUA CARNEIRO VILELA, 343","NA RUA DA IGREJA EPISCOPAL, PRÓXIMO A GALERIA ESQUINA 48",3,3-NOROESTE,3.1,Não,Ocorrências,,,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2019-12-16T09:36:16
19,2019,09-setembro,8112538919,2019-09-17T00:00:00,16:36,"USUÁRIO SOLICITA VISTORIA, INFORMA QUE SUA RESIDENCIA  ESTÁ APRESENTANDO RACHADURAS , POR CAUSA DE UMA OBRA QUE ESTÁ TENDO PRÓXIMO.",PLANICIE,AFLITOS,AFLITOS,"AV SANTOS DUMONT , N 290","DEPOIS DO NÁUTICO A 1 ª A DIREITA , ESQUINA COM A RUA LUIZ RODOLFO DE ARAUJO.",3,3-NOROESTE,3.1,Sim,Ocorrências,,,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2019-09-20T11:14:10
20,2019,09-setembro,8109426919,2019-09-09T00:00:00,14:55,USUÁRIO INFORMA QUE QUE CASARÃO COSTA AZEVEDO ESTA CONDENADO É INTERDITO CON RISCO DE DESABAMENTO O TELHADO É ANTIGO.,PLANICIE,AFLITOS,AFLITOS,AV CONS ROSA E SILVA N 707,EM FRENTE IGREJINHA DOS AFLITOS,3,3-NOROESTE,3.1,Não,Ocorrências,,,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2019-09-16T14:40:50
21,2019,06-junho,8077330119,2019-06-17T00:00:00,18:51,"A USUARIA INFORMA QUE UM PREDIO DE 3 ANDARES PILOTIS ESTÁ APRESENTANDO RACHADURAS E INFILTRAÇÕES,FAVOR VERIFICAR COM URGENCIA.",PLANICIE,AFLITOS,AFLITOS,"RUA   MANUEL DE CARVALHO, N 179",DUAS ANTES DO PORTAO DE TRAZ DO CLUBE NAUTICO.NA  RUA DA POLICLINA ANUIONCO.,3,3-NOROESTE,3.1,Sim,Ocorrências,,,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2019-06-19T11:00:30
22,2018,10-outubro,8129202018,2018-10-22T00:00:00,10:01,"SOLICITANTE É SÍNDICA DO PRÉDIO E INFORMA QUE UM DOS ORADORES SE QUEIXOU DE QUE O SEU APARTAMENTO ESTÁ ""BALANÇANDO"" SOLICITA VISTORIA NA ESTRUTURA PARA DESCARTAR POSSÍVEIS PERIGOS.NENHUM DOS OUTROS MORADORES SE QUEIXOU DO PROBLEMA.",PLANICIE,AFLITOS,AFLITOS,"AV CONS. ROSA E SILVA, 257",PRÓXIMO AO CLUBE PORTUGUÊS,3,3-NOROESTE,3.1,Não,Ocorrências,,,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2018-10-22T16:02:09
23,2018,10-outubro,8129200818,2018-10-22T00:00:00,10:01,"SOLICITANTE É SÍNDICA DO PRÉDIO E INFORMA QUE UM DOS ORADORES SE QUEIXOU DE QUE O SEU APARTAMENTO ESTÁ ""BALANÇANDO"" SOLICITA VISTORIA NA ESTRUTURA PARA DESCARTAR POSSÍVEIS PERIGOS.NENHUM DOS OUTROS MORADORES SE QUEIXOU DO PROBLEMA.",PLANICIE,AFLITOS,AFLITOS,"AV CONS. ROSA E SILVA, 257",PRÓXIMO AO CLUBE PORTUGUÊS,3,3-NOROESTE,3.1,Não,Ocorrências,,,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2018-10-22T10:56:53
24,2018,05-maio,8058324118,2018-05-04T00:00:00,10:06,USUÁRIO INFORMA QUE AO LADO DE SUA CASA HÁ UM PRÉDIO ABANDONADO ONDE PEDAÇOS DO MESMO CAEM CONSTANTEMENTE EM SEU TELHADO.USUÁRIO TEME PELA ESTRUTURA DO PRÉDIO E DESEJA VISTORIA PARA AVALIAR O ROSCO QUE O MESMO REPRESENTA,PLANICIE,AFLITOS,AFLITOS,"RUA CARNEIRO VILELA, 700",PRÓXIMO AO NÁUTICOFONE 2: 8134275857,3,3-NOROESTE,3.1,Não,Ocorrências,,,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2018-05-05T09:37:38
25,2018,04-abril,8040606518,2018-04-02T00:00:00,10:32,"USUÁRIO INFORMA QUE UMA FUNDAÇÃO MARIA NOBREGA ESTÁ COM ALGUMAS GOTEIRAS ,( SINAIS DE INFILTRAÇÃO) E SOLICITA UMA VISTORIA PARA IDENTIFICAR O PROBLEMA",PLANICIE,AFLITOS,AFLITOS,"AV ROSA E SILVA, 810","AO LADO DA CAPELA DOS AFLITOS, PRÓXIMO DA ANTIGA ESCOLA DE RELAÇÕES PÚBLICAS",3,3-NOROESTE,3.1,Não,Ocorrências,,,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2018-04-11T10:42:54
26,2017,10-outubro,8094575217,2017-10-15T00:00:00,18:58,TESTE,PLANICIE,AFLITOS,AFLITOS,TESTE,TESTE,3,3-NOROESTE,3.1,Sim,Ocorrências,-8.0539034,-34.88400160000003,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2017-10-16T08:56:09
27,2017,08-agosto,8070311517,2017-08-03T00:00:00,09:10,deseja vistoria em muro com risco de queda no prédio e pedestres  porem o terreno esta  abandonado,PLANICIE,AFLITOS,AFLITOS,avenida santos Dumont  387,ao lado da casa de plantas,3,3-NOROESTE,3.1,Não,Ocorrências,-8.0375561,-34.89852380000002,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2017-08-04T16:16:10
28,2017,05-maio,8045936517,2017-05-29T00:00:00,17:13,TESTE,PLANICIE,AFLITOS,AFLITOS,TESTE,TESTE,3,3-NOROESTE,3.1,Sim,Ocorrências,-8.0372529,-34.893943000000036,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2017-05-30T08:44:40
29,2017,05-maio,8045912917,2017-05-29T00:00:00,16:50,TESTE,PLANICIE,AFLITOS,AFLITOS,TESTE,TESTE,3,3-NOROESTE,3.1,Sim,Ocorrências,-8.0372529,-34.893943000000036,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2017-05-30T08:44:13
30,2017,05-maio,8038156817,2017-05-08T00:00:00,12:25,"DESEJA VISTORIA ,ARVORE CAIU EM CIMA DO PRÉDIO  DANIFICANDO IMÓVEL ,OCASIONOU RACHADURAS NO 2º ANDAR .urgência!",PLANICIE,AFLITOS,AFLITOS,AV SANTOS DUMONT 429,VIZINHO A GALERIA DUMONT CENTER,3,3-NOROESTE,3.1,Não,Ocorrências,-8.0372694,-34.8984006,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2017-05-08T15:14:02
31,2017,02-fevereiro,8012686017,2017-02-14T00:00:00,11:50,PREDIO ABANDONADO COM MURO PRESTES A CAIR.,PLANICIE,AFLITOS,AFLITOS,RUA TELIS JUNIOR,SALÃO DE BELEZA TONY CABELEREIRO.,3,3-NOROESTE,3.1,Não,Ocorrências,-8.0373731,-34.89710009999999,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2017-02-16T16:34:31
32,2016,08-agosto,8046976216,2016-08-01T00:00:00,10:28,TESTE SOLICITADO POR SUPERVISORA RENATA MARIA.,PLANICIE,AFLITOS,AFLITOS,RUA 01,TESTE.,3,3-NOROESTE,3.1,Não,Ocorrências,,,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2016-08-01T14:25:58
33,2016,05-maio,8021489016,2016-05-02T00:00:00,18:00,teste,PLANICIE,AFLITOS,AFLITOS,teste,teste,3,3-NOROESTE,3.1,Sim,Ocorrências,-8.0578381,-34.88289689999999,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2016-05-03T09:01:16
34,2016,04-abril,8018956016,2016-04-19T00:00:00,18:22,texte,PLANICIE,AFLITOS,AFLITOS,vdvfsdhjfklas,dercfed,3,3-NOROESTE,3.1,Sim,Ocorrências,-8.0578381,-34.88289689999999,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2016-04-20T08:35:48
35,2016,04-abril,8018516016,2016-04-18T00:00:00,17:08,teste,PLANICIE,AFLITOS,AFLITOS,teste,teste,3,3-NOROESTE,3.1,Sim,Ocorrências,-8.0578381,-34.88289689999999,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2016-04-19T08:29:30
36,2016,04-abril,8017416216,2016-04-16T00:00:00,08:49,"edf. Montenegro esta rachado e  pode cair, uma parte do muro já caiu e está impedindo o acesso de dentro do prédio para moradores e carros.",PLANICIE,AFLITOS,AFLITOS,av. santos dumont,"prox ao campo do nautico, primeira a direita.",3,3-NOROESTE,3.1,Sim,Ocorrências,-8.0347776,-34.897071600000004,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2016-04-19T16:26:09
37,2016,01-janeiro,8003598616,2016-01-29T00:00:00,16:33,USUÁRIO INFORMA A QUEDA DE UMA ARVORE E SOLICITA URGENCIA,PLANICIE,AFLITOS,AFLITOS,RUA MALAQUIAS,PRÓXIMO AO BANCO ITAU,3,3-NOROESTE,3.1,Sim,Ocorrências,-8.0540251,-34.88235529999997,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2016-02-15T15:51:46
38,2015,12-dezembro,8037555015,2015-12-07T00:00:00,14:18,teste,PLANICIE,AFLITOS,AFLITOS,teste,teste,3,3-NOROESTE,3.1,Não,Ocorrências,-8.0578381,-34.88289689999999,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2015-12-07T16:10:46
39,2015,12-dezembro,8038244815,2015-12-15T00:00:00,09:51,USUÁRIA SOLICITA VISTORIA NA CAIXA D´ÁGUA DO ED. DO BLOCO B. A MESMA INFORMA QUE A CAIXA ESTA COM (RACHADURAS E VAZAMENTOS). A QUAL ESTA TRAZENDO RISCOS PARA OS MORADORES.,PLANICIE,AFLITOS,AFLITOS,"AV. ROSA E SILVA, N 257.",PRÓXIMO AO CLUBE PORTUGUÊS.,3,3-NOROESTE,3.1,Não,Ocorrências,-8.0490519,-34.89650069999999,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2016-03-17T12:22:57
40,2015,09-setembro,8028708115,2015-09-15T00:00:00,11:51,"usuário informa que um vizinho esta fazendo um serviço no prédio , quebrando a parede , pede urgência de uma fiscalização",PLANICIE,AFLITOS,AFLITOS,RUA   CARNEIRO VILELA n 343,edifício jaraguá (galeria esquina 48 pega a direita edifício branco),3,3-NOROESTE,3.1,Não,Ocorrências,-8.039204,-34.89548000000002,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2015-09-15T16:51:51
41,2015,08-agosto,8027226315,2015-08-31T00:00:00,10:54,TESTE,PLANICIE,AFLITOS,"",TESTE,TESTE,3,3-NOROESTE,3.1,Não,Ocorrências,-8.053939699999999,-34.88402450000001,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2015-09-01T09:43:17
42,2015,08-agosto,8027096215,2015-08-28T00:00:00,11:13,teste,PLANICIE,AFLITOS,AFLITOS,marques de olinda,teste,3,3-NOROESTE,3.1,Não,Ocorrências,-8.063514699999999,-34.8730271,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2015-08-28T11:51:18
43,2015,08-agosto,8026912015,2015-08-26T00:00:00,17:37,TESTE,PLANICIE,AFLITOS,AFLITOS,RUA MARQUES DE OLINDA,TESTE,3,3-NOROESTE,3.1,Sim,Ocorrências,-8.0330393,-34.913504200000034,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2015-08-27T09:51:08
44,2015,01-janeiro,8001316515,2015-01-14T00:00:00,15:05,"USUÁRIO SOLICITA VISTORIA DE IMÓVEL, INFORMA QUE UM PEDAÇO DA VARANDO DO EDIFÍCIO DESABOU DO 10° ANDAR, O MESMO NÃO CAIU EM CIMA DE NENHUM CIDADÃO, SOLICITA URGÊNCIA.",PLANICIE,AFLITOS,AFLITOS,"RUA DO FUTURO, N°897",PROX. AO PARQUE DA JAQUEIRAAO LADO DO CLUBE ABB,3,3-NOROESTE,3.1,Não,Ocorrências,-8.0397908,-34.896209,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2015-01-15T15:02:53
45,2014,10-outubro,8017835914,2014-10-13T00:00:00,15:52,teste,PLANICIE,AFLITOS,AFLITOS,00000,teste,3,3-NOROESTE,3.1,Não,Ocorrências,,,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2014-10-13T16:10:43
46,2014,09-setembro,8016504914,2014-09-24T00:00:00,07:22,A USUÁRIA INFORMA QUE O PRÉDIO ESTAR COM RACHADURAS E CAINDO OS PEDAÇOS E COM FERROS EXPOSTO E COM FILTRAÇÃO DE ÁGUA.....,PLANICIE,AFLITOS,AFLITOS,AV SANTOS DOMON Nº455,O PRÉDIO FICA EM FRENTE PADARIA PÃO DE FORNO,3,3-NOROESTE,3.1,Sim,Ocorrências,-8.0397908,-34.896209,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2014-10-22T13:18:57
47,2014,08-agosto,8013839014,2014-08-25T00:00:00,09:03,"CIDADÃO SOLICITA VISTORIA EM COBERTA DE ESTABELECIMENTO COMERCIAL ( ASS. TECNICA DE COMPUTADORES E TELEVISÃO), POIS INFORMA QUE 2 VIGAS DESTA COBERTURA ESTÃO ROMPIDAS CAUSANDO RISCO AOS PEDESTRES QUE PASSAM EM ABAXO DA MESMA.",PLANICIE,AFLITOS,AFLITOS,"AV. ROSA E SILVA, Nº 1414","APÓS O CRUZAMENTO DA ROSA E SILVA  COM  SANTOS DO DUMONT, AO LADO DIREITO.",3,3-NOROESTE,3.1,Não,Ocorrências,-8.0397908,-34.896209,Não,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2014-08-27T08:39:58
48,2014,08-agosto,8012453014,2014-08-01T00:00:00,14:51,Cancelar protocolo.Abimael.,PLANICIE,AFLITOS,AFLITOS,aaaa,aaaa,3,3-NOROESTE,3.1,Não,Atividades internas,-8.0397908,-34.896209,Não,Não,execucao,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,TRAMITAÇÃO,
49,2014,07-julho,8012391514,2014-07-31T00:00:00,17:54,"Chamado teste. Por favor, cancelar este chamado!",PLANICIE,AFLITOS,AFLITOS,rua abc,"Chamado teste. Por favor, cancelar este chamado!",3,3-NOROESTE,3.1,Não,Atividades internas,,,Sim,Não,completo,ATENDIMENTO,"",SEDEC - GERÊNCIA REGIONAL PLANICIE,ARQUIVADO,2014-08-01T08:43:10
